label,family,count,detected,missed,recall
guess_passwd,R2L,1231,0,1231,0.0
httptunnel,R2L,133,0,133,0.0
multihop,R2L,18,0,18,0.0
phf,R2L,2,0,2,0.0
sendmail,R2L,14,0,14,0.0
snmpgetattack,R2L,178,0,178,0.0
snmpguess,R2L,331,0,331,0.0
warezmaster,R2L,944,0,944,0.0
worm,R2L,2,0,2,0.0
xsnoop,R2L,4,0,4,0.0
xlock,R2L,9,1,8,0.1111
ftp_write,R2L,3,1,2,0.3333
named,R2L,17,6,11,0.3529
imap,R2L,1,1,0,1.0
buffer_overflow,U2R,20,0,20,0.0
loadmodule,U2R,2,0,2,0.0
perl,U2R,2,0,2,0.0
ps,U2R,15,0,15,0.0
rootkit,U2R,13,0,13,0.0
sqlattack,U2R,2,0,2,0.0
xterm,U2R,13,0,13,0.0
